Valor,Código
DISTANCIA,21_
SOBRECORRIENTE GENERAL,5051_
SOBRECORRIENTE GENERAL A TIERRA,5051N_
SOBRECORRIENTE GENERAL A TIERRA DE 13.2KV,15051N_
SOBRECORRIENTE GENERAL A TIERRA DE 132KV,35051N_
SOBRECORRIENTE GENERAL A TIERRA DE 33KV,25051N_
SOBRECORRIENTE GENERAL DE 13.2KV,15051_
SOBRECORRIENTE GENERAL DE 132KV,35051_
SOBRECORRIENTE GENERAL DE 33KV,25051_
SOBRECORRIENTE INSTANTANEA,50_
SOBRECORRIENTE INSTANTANEA A TIERRA,50N_
SOBRECORRIENTE INSTANTANEA A TIERRA DE 13.2KV,150N_
SOBRECORRIENTE INSTANTANEA A TIERRA DE 132KV,350N_
SOBRECORRIENTE INSTANTANEA A TIERRA DE 33KV,250N_
SOBRECORRIENTE INSTANTANEA DE 13.2KV,150_
SOBRECORRIENTE INSTANTANEA DE 132KV,350_
SOBRECORRIENTE INSTANTANEA DE 33KV,250_
SOBRECORRIENTE TEMPORIZADA,51_
SOBRECORRIENTE TEMPORIZADA A GROUND,51G_
SOBRECORRIENTE TEMPORIZADA A TIERRA,51N_
SOBRECORRIENTE TEMPORIZADA A TIERRA DE 13.2KV,151N_
SOBRECORRIENTE TEMPORIZADA A TIERRA DE 132KV,351N_
SOBRECORRIENTE TEMPORIZADA A TIERRA DE 33KV,251N_
SOBRECORRIENTE TEMPORIZADA DE 13.2KV,151_
SOBRECORRIENTE TEMPORIZADA DE 132KV,351_
SOBRECORRIENTE TEMPORIZADA DE 33KV,251_
SOBRECARGA,OVERL
