Valor,Código
ALARMA,AL
ALTA TENSION BATERIA,ATBAT
ALTA TENSION CONSUMO,ATCON
APERTURA DE COMANDO,APCDO
APERTURA LOCAL,APLOC
APERTURA REMOTA,APREM
ARRANQUE,AR
AÑO,ANIO
BAJA BATERIA,BABAT
BAJA TENSION BATERIA,BTBAT
BAJA TENSION CONSUMO,BTCON
BLOQUEADO,BL
BLOQUEADO POR PROPIAS,PROP_BL
BLOQUEO APERTURA,BL_AP
BLOQUEO CIERRE,BL_CI
BLOQUEO IMPEDANCIA POR OSC DE POTENCIA,68_BLZ
CARGA A FONDO,CAFO
CARRO,CARRO
CIERRE LOCAL,CILOC
CIERRE MANUAL,CIMAN
CIERRE SINCRONIZADO,CISINC
COLD LOAD BLOQUEADO,CLBL
COMANDO,CDO
COMANDO DE CIERRE,CICDO
CONDUCTOR CORTADO,CONCOR
CORRIENTE,A
CORRIENTE BATERIA,ABAT
CORRIENTE DE FALLA,KA
DIA,DIA
DIA DE LA SEMANA,SEM
DISCORDANCIA DE POLO,DISC_PO
DISPARO,DI
DISTANCIA DE FALLA,KM
EMERGENCIA,EMER
EN PRUEBA,PRUEBA
ESTADO,EST
FACTOR DE POTENCIA,PHI
FALLA,FALLA
FALLA A TIERRA,64
FALLA BALANCE VOLTAJE,FBV
FALLA BANCO 110VCC,BAT110
FALLA BANCO 48VCC,BAT48
FALLA DE RED,FRED
FALLA INTERNA IED,IRF
FALTA FUERZA MOTRIZ,FM
FALTA PRESION GAS SF6,GAS
FALTA TENSION ALTERNA,VCA
FALTA TENSION ALTERNA BARRA,UBARRA
FALTA TENSION ALTERNA CALEFACCION,UCALEF
FALTA TENSION ALTERNA GRAL,UGRAL
FALTA TENSION ALTERNA MEDICION,UMED
FALTA TENSION ALTERNA RECTIFICADOR 110,URECT110
FALTA TENSION ALTERNA RECTIFICADOR 48,URECT48
FALTA TENSION CONTINUA,VCC
FALTA TENSION CONTINUA BARRA,VBARRA
FALTA TENSION CONTINUA COMUNICACIÓN,VCOM
FALTA TENSION CONTINUA DE COMANDO,VCDO
FALTA TENSION CONTINUA MEDIDOR,VMED
FALTA TENSION CONTINUA PROTECCION,VPROT
FALTA TENSION CONTINUA SEÑALIZACION,VSENIAL
FALTA TENSION ILUMINACION,UILUM
FALTA TENSION RECTIFICADOR 110VCC,VRECT110
FALTA TENSION RECTIFICADOR 48VCC,VRECT48
FLUJO INVERTIDO,LINV
FRECUENCIA,HZ
FUSION FUSIBLE,FUSF
GRUPO DE PROTECCION,GRUPO
HORA,HORA
INTERRUPTOR,52
LINEA VIVA HABILITADA,HOTLINE
LLAVE,LL
LUZ LED,LED
MES,MES
MINUTO,MIN
POSICION TAP,TAP
POTENCIA ACTIVA,KW
POTENCIA APARENTE,KVA
POTENCIA REACTIVA,KVAR
POTENCIA REACTIVA CAPACITIVA,KVARC
POTENCIA REACTIVA INDUCTIVA,KVARL
PROTECCION FALLO INTERRUPTOR,CBFP
PROTECCION FRECUENCIA,81
PROTECCION INICADA,51_INI
PUERTA ABIERTA,PUERTA
RBC INICIADO,INI
RECIERRE,79
RELE OK,RELE
RESORTE DESCARGADO,RESDES
SECUENCIA NEGATIVA,46
SEGUNDO,SEG
SOBRECARGA,OVERL
SOBRECORRIENTE DIRECCIONAL,67
SOBRETENSION,59
SUBTENSION,27
TELEPROTECCION,TELEP
TENSION,KV
TENSION BATERIA,VBAT
TRANSMISION GM,TRANS_GM
